params,heat_loss,is_optimal
"{'fc1.weight_0': 0.6279058679938316, 'fc1.weight_1': 0.33512986078858376, 'fc1.weight_2': -0.5239281449466944, 'bn1.weight_0': 0.031179150566458702, 'bn1.weight_1': -0.6898752264678478, 'bn1.weight_2': -0.8625802639871836, 'bn1.bias_0': 0.5145237911492586, 'bn1.bias_1': -0.9737742654979229, 'bn1.bias_2': -0.7669891826808453, 'fc2.weight_0': -0.9958728514611721, 'fc2.weight_1': -0.7592037841677666, 'fc2.weight_2': 0.9980683419853449}",0.05995695008680712,No
"{'fc1.weight_0': -0.6546287126839161, 'fc1.weight_1': -0.022021466866135597, 'fc1.weight_2': 0.33256917260587215, 'bn1.weight_0': -0.582689855247736, 'bn1.weight_1': 0.8462365325540304, 'bn1.weight_2': 0.9728416800498962, 'bn1.bias_0': -0.6439115703105927, 'bn1.bias_1': 0.4727455023676157, 'bn1.bias_2': 0.22524408623576164, 'fc2.weight_0': 0.5341276954859495, 'fc2.weight_1': 0.7380194794386625, 'fc2.weight_2': -0.8807206600904465}",0.05869227668004338,No
"{'fc1.weight_0': -0.08067028038203716, 'fc1.weight_1': 0.7046274729073048, 'fc1.weight_2': -0.0455927699804306, 'bn1.weight_0': 0.7737869471311569, 'bn1.weight_1': 0.3950515426695347, 'bn1.weight_2': 0.4296688213944435, 'bn1.bias_0': 0.28886565938591957, 'bn1.bias_1': 0.8275250811129808, 'bn1.bias_2': 0.8252315800637007, 'fc2.weight_0': 0.4588442388921976, 'fc2.weight_1': 0.1693723201751709, 'fc2.weight_2': -0.3018393125385046}",0.024149169089897532,No
"{'fc1.weight_0': 0.07637033425271511, 'fc1.weight_1': -0.8907828126102686, 'fc1.weight_2': 0.8463221043348312, 'bn1.weight_0': -0.3311550673097372, 'bn1.weight_1': -0.051197389140725136, 'bn1.weight_2': -0.2817525137215853, 'bn1.bias_0': -0.43194092251360416, 'bn1.bias_1': -0.32648010924458504, 'bn1.bias_2': -0.18241309560835361, 'fc2.weight_0': -0.012630626559257507, 'fc2.weight_1': -0.3356634322553873, 'fc2.weight_2': 0.3269476741552353}",0.029334638136045057,No
"{'fc1.weight_0': 0.018980413675308228, 'fc1.weight_1': 0.6725131776183844, 'fc1.weight_2': -0.9780051074922085, 'bn1.weight_0': 0.49428121000528336, 'bn1.weight_1': 0.5853658989071846, 'bn1.weight_2': 0.9221884403377771, 'bn1.bias_0': -0.5628400407731533, 'bn1.bias_1': 0.783536309376359, 'bn1.bias_2': -0.48107356764376163, 'fc2.weight_0': 0.31291845813393593, 'fc2.weight_1': -0.3004761412739754, 'fc2.weight_2': 0.856078153476119}",0.04573581139358007,No
"{'fc1.weight_0': -0.015383344143629074, 'fc1.weight_1': -0.985381256788969, 'fc1.weight_2': 0.16158947721123695, 'bn1.weight_0': -0.9232371132820845, 'bn1.weight_1': -0.9917577859014273, 'bn1.weight_2': -0.7882482297718525, 'bn1.bias_0': 0.7166595067828894, 'bn1.bias_1': -0.2845655493438244, 'bn1.bias_2': 0.5267236661165953, 'fc2.weight_0': -0.14975731261074543, 'fc2.weight_1': 0.19668513350188732, 'fc2.weight_2': -0.7727117873728275}",0.06816707467647821,No
"{'fc1.weight_0': -0.6904807295650244, 'fc1.weight_1': 0.30274531804025173, 'fc1.weight_2': -0.4680992942303419, 'bn1.weight_0': 0.7476279269903898, 'bn1.weight_1': -0.25151411443948746, 'bn1.weight_2': -0.36413976177573204, 'bn1.bias_0': -0.35282169096171856, 'bn1.bias_1': -0.8828773386776447, 'bn1.bias_2': 0.42280032858252525, 'fc2.weight_0': -0.85785255394876, 'fc2.weight_1': 0.6481447666883469, 'fc2.weight_2': -0.41363235749304295}",0.052112520662328354,No
"{'fc1.weight_0': 0.7183928173035383, 'fc1.weight_1': -0.11683031544089317, 'fc1.weight_2': 0.6438940484076738, 'bn1.weight_0': -0.17854272946715355, 'bn1.weight_1': 0.15762938000261784, 'bn1.weight_2': 0.4722659010440111, 'bn1.bias_0': 0.48904716968536377, 'bn1.bias_1': 0.3839208800345659, 'bn1.bias_2': -0.569524522870779, 'fc2.weight_0': 0.6789729446172714, 'fc2.weight_1': -0.8568289969116449, 'fc2.weight_2': 0.46515369042754173}",0.028951783230336002,No
"{'fc1.weight_0': 0.7981275320053101, 'fc1.weight_1': 0.17638714611530304, 'fc1.weight_2': 0.31178368255496025, 'bn1.weight_0': -0.4660310223698616, 'bn1.weight_1': 0.36560677364468575, 'bn1.weight_2': 0.6800787802785635, 'bn1.bias_0': -0.023171978071331978, 'bn1.bias_1': -0.5786470044404268, 'bn1.bias_2': 0.14661154709756374, 'fc2.weight_0': -0.3044246956706047, 'fc2.weight_1': 0.9459285717457533, 'fc2.weight_2': 0.13527192175388336}",0.02938505756000984,No
"{'fc1.weight_0': -0.7948280088603497, 'fc1.weight_1': -0.48949561826884747, 'fc1.weight_2': -0.6125856228172779, 'bn1.weight_0': 0.8969381917268038, 'bn1.weight_1': -0.2094914559274912, 'bn1.weight_2': -0.5460136532783508, 'bn1.bias_0': 0.13498204573988914, 'bn1.bias_1': 0.07981356978416443, 'bn1.bias_2': -0.845591189339757, 'fc2.weight_0': 0.23296860046684742, 'fc2.weight_1': -0.5492807701230049, 'fc2.weight_2': -0.23569767735898495}",0.0316464436183014,No
"{'fc1.weight_0': -0.4698892142623663, 'fc1.weight_1': 0.7990541458129883, 'fc1.weight_2': 0.7591990325599909, 'bn1.weight_0': -0.7133857328444719, 'bn1.weight_1': -0.5317663811147213, 'bn1.weight_2': -0.12190898507833481, 'bn1.bias_0': -0.8111927583813667, 'bn1.bias_1': 0.7449321672320366, 'bn1.bias_2': -0.19756047800183296, 'fc2.weight_0': 0.7750484850257635, 'fc2.weight_1': -0.10608757473528385, 'fc2.weight_2': -0.5640421658754349}",0.03266111222386815,No
"{'fc1.weight_0': 0.497580049559474, 'fc1.weight_1': -0.6128988843411207, 'fc1.weight_2': -0.06777532957494259, 'bn1.weight_0': 0.1423340030014515, 'bn1.weight_1': 0.8753745462745428, 'bn1.weight_2': 0.23015244118869305, 'bn1.bias_0': 0.9093458447605371, 'bn1.bias_1': -0.24608252383768559, 'bn1.bias_2': 0.8101147003471851, 'fc2.weight_0': -0.6880570389330387, 'fc2.weight_1': 0.39693425595760345, 'fc2.weight_2': 0.5569239649921656}",0.042918455000149854,No
"{'fc1.weight_0': 0.36691624112427235, 'fc1.weight_1': 0.4798423480242491, 'fc1.weight_2': 0.9670375548303127, 'bn1.weight_0': 0.8206159025430679, 'bn1.weight_1': -0.8266955707222223, 'bn1.weight_2': 0.25980235636234283, 'bn1.bias_0': -0.1466346923261881, 'bn1.bias_1': -0.6651808079332113, 'bn1.bias_2': 0.1100075002759695, 'fc2.weight_0': 0.566426333039999, 'fc2.weight_1': 0.273924695327878, 'fc2.weight_2': 0.9120847843587399}",0.014258351871133576,No
"{'fc1.weight_0': -0.354583153501153, 'fc1.weight_1': -0.16697420552372932, 'fc1.weight_2': -0.1427709199488163, 'bn1.weight_0': -0.252984082326293, 'bn1.weight_1': 0.732834730297327, 'bn1.weight_2': -0.40375138260424137, 'bn1.bias_0': 0.011374372988939285, 'bn1.bias_1': 0.16415156796574593, 'bn1.bias_2': -0.8822257537394762, 'fc2.weight_0': -0.9035073909908533, 'fc2.weight_1': -0.2213454358279705, 'fc2.weight_2': -0.9669477883726358}",0.042787281228451324,No
"{'fc1.weight_0': -0.9139180108904839, 'fc1.weight_1': 0.6074156742542982, 'fc1.weight_2': 0.4766248408704996, 'bn1.weight_0': 0.07810019515454769, 'bn1.weight_1': 0.023862993344664574, 'bn1.weight_2': -0.9518834073096514, 'bn1.bias_0': -0.9367230385541916, 'bn1.bias_1': 0.503305446356535, 'bn1.bias_2': -0.043738652020692825, 'fc2.weight_0': -0.1036075334995985, 'fc2.weight_1': -0.6840703543275595, 'fc2.weight_2': -0.35831237211823463}",0.06334331016247162,No
"{'fc1.weight_0': 0.9330640397965908, 'fc1.weight_1': -0.7933306135237217, 'fc1.weight_2': -0.6602698918431997, 'bn1.weight_0': -0.5046108402311802, 'bn1.weight_1': -0.4302176348865032, 'bn1.weight_2': 0.8376547023653984, 'bn1.bias_0': 0.783899487927556, 'bn1.bias_1': -0.002261904999613762, 'bn1.bias_2': 0.9639060087502003, 'fc2.weight_0': 0.4249739423394203, 'fc2.weight_1': 0.8190122805535793, 'fc2.weight_2': 0.2707193251699209}",0.010913764310514742,No
"{'fc1.weight_0': 0.5836149174720049, 'fc1.weight_1': 0.9837735369801521, 'fc1.weight_2': -0.2578163854777813, 'bn1.weight_0': -0.8587510585784912, 'bn1.weight_1': -0.10889815352857113, 'bn1.weight_2': 0.0021862052381038666, 'bn1.bias_0': -0.6892247386276722, 'bn1.bias_1': 0.9648233782500029, 'bn1.bias_2': -0.2598651144653559, 'fc2.weight_0': -0.5506130903959274, 'fc2.weight_1': -0.9721023552119732, 'fc2.weight_2': 0.0662954542785883}",0.09977029031830775,No
"{'fc1.weight_0': -0.5714725647121668, 'fc1.weight_1': -0.6706651356071234, 'fc1.weight_2': 0.5664543099701405, 'bn1.weight_0': 0.28526932932436466, 'bn1.weight_1': 0.4525434598326683, 'bn1.weight_2': -0.14577377401292324, 'bn1.bias_0': 0.5901145916432142, 'bn1.bias_1': -0.46365681290626526, 'bn1.bias_2': 0.747901601716876, 'fc2.weight_0': 0.9793992582708597, 'fc2.weight_1': 0.525120185688138, 'fc2.weight_2': -0.05492006242275238}",0.014588398723879294,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': -0.37823276421647234, 'fc1.weight_2': -0.028752088841371704, 'bn1.weight_0': 0.8776600250944304, 'bn1.weight_1': 0.48780997017889693, 'bn1.weight_2': -1.0, 'bn1.bias_0': 0.24123049040929834, 'bn1.bias_1': 0.20973984346827113, 'bn1.bias_2': -1.0, 'fc2.weight_0': 1.0, 'fc2.weight_1': 0.7557639020213665, 'fc2.weight_2': 1.0}",0.010339167077085031,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': -0.7707039449190084, 'fc1.weight_2': -1.0, 'bn1.weight_0': -0.6566933917317517, 'bn1.weight_1': 0.6915216711535637, 'bn1.weight_2': -1.0, 'bn1.bias_0': -0.615528691527657, 'bn1.bias_1': 1.0, 'bn1.bias_2': 1.0, 'fc2.weight_0': 1.0, 'fc2.weight_1': 1.0, 'fc2.weight_2': 1.0}",0.047246908012125874,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': -1.0, 'fc1.weight_2': 1.0, 'bn1.weight_0': 1.0, 'bn1.weight_1': 0.38072542313370206, 'bn1.weight_2': -1.0, 'bn1.bias_0': -1.0, 'bn1.bias_1': 1.0, 'bn1.bias_2': -1.0, 'fc2.weight_0': -0.30196014402908455, 'fc2.weight_1': 1.0, 'fc2.weight_2': 1.0}",0.022558941827432833,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': -0.18742069314801357, 'fc1.weight_2': -0.29199303191593295, 'bn1.weight_0': 1.0, 'bn1.weight_1': -0.22577697847753397, 'bn1.weight_2': 0.2910259154047663, 'bn1.bias_0': 1.0, 'bn1.bias_1': -0.46237422579806886, 'bn1.bias_2': -1.0, 'fc2.weight_0': 1.0, 'fc2.weight_1': 0.523600175721076, 'fc2.weight_2': 0.42883947152536495}",0.016417965925693254,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': 0.4426289609693723, 'fc1.weight_2': 1.0, 'bn1.weight_0': 1.0, 'bn1.weight_1': 0.012859092475280054, 'bn1.weight_2': -0.2317607739399108, 'bn1.bias_0': 1.0, 'bn1.bias_1': 0.34523622296623113, 'bn1.bias_2': 0.5552494465978395, 'fc2.weight_0': 0.48552856970595415, 'fc2.weight_1': 1.0, 'fc2.weight_2': 1.0}",0.013265002742259365,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': 0.3873224280462899, 'fc1.weight_2': 1.0, 'bn1.weight_0': 1.0, 'bn1.weight_1': 1.0, 'bn1.weight_2': -1.0, 'bn1.bias_0': 1.0, 'bn1.bias_1': -1.0, 'bn1.bias_2': -1.0, 'fc2.weight_0': 1.0, 'fc2.weight_1': -0.046175016718888684, 'fc2.weight_2': 0.5930321493994948}",0.01519045592353045,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': 0.19924624795477786, 'fc1.weight_2': 0.27306847779758847, 'bn1.weight_0': 1.0, 'bn1.weight_1': 0.7527900148279141, 'bn1.weight_2': -1.0, 'bn1.bias_0': -0.08500906437140188, 'bn1.bias_1': 0.11496642875757734, 'bn1.bias_2': 0.04152373979708557, 'fc2.weight_0': 0.19234688542679224, 'fc2.weight_1': 0.636184352184233, 'fc2.weight_2': 1.0}",0.01804331233416661,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': -0.2906258477199962, 'fc1.weight_2': -0.11631918931349716, 'bn1.weight_0': -0.6232329913114947, 'bn1.weight_1': -0.27698779416698793, 'bn1.weight_2': -0.3868090061328504, 'bn1.bias_0': -0.8948624021623051, 'bn1.bias_1': -1.0, 'bn1.bias_2': -1.0, 'fc2.weight_0': 1.0, 'fc2.weight_1': 0.17752189311130384, 'fc2.weight_2': 1.0}",0.02975119894196225,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': -0.01453912382582323, 'fc1.weight_2': -1.0, 'bn1.weight_0': -1.0, 'bn1.weight_1': 1.0, 'bn1.weight_2': -1.0, 'bn1.bias_0': -1.0, 'bn1.bias_1': 0.22017710137080493, 'bn1.bias_2': -1.0, 'fc2.weight_0': -1.0, 'fc2.weight_1': 1.0, 'fc2.weight_2': 1.0}",0.022902618062145396,No
"{'fc1.weight_0': -0.05986568410162907, 'fc1.weight_1': -0.10567134382875121, 'fc1.weight_2': 1.0, 'bn1.weight_0': 1.0, 'bn1.weight_1': -0.6362652232939687, 'bn1.weight_2': 1.0, 'bn1.bias_0': 0.34443051570191496, 'bn1.bias_1': -0.07177581470184768, 'bn1.bias_2': 1.0, 'fc2.weight_0': 1.0, 'fc2.weight_1': 0.7334115726414614, 'fc2.weight_2': 0.617271610524784}",0.02232039019778471,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': 1.0, 'fc1.weight_2': 1.0, 'bn1.weight_0': 1.0, 'bn1.weight_1': 1.0, 'bn1.weight_2': -1.0, 'bn1.bias_0': 0.48710845933349245, 'bn1.bias_1': 1.0, 'bn1.bias_2': 1.0, 'fc2.weight_0': -0.2616834510792748, 'fc2.weight_1': 1.0, 'fc2.weight_2': 0.6935710815455967}",0.0238746710433044,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': -0.0077298452967689, 'fc1.weight_2': 1.0, 'bn1.weight_0': 0.7368412542100113, 'bn1.weight_1': -1.0, 'bn1.weight_2': 1.0, 'bn1.bias_0': -1.0, 'bn1.bias_1': 0.5443642187707798, 'bn1.bias_2': 1.0, 'fc2.weight_0': -0.43610628787313077, 'fc2.weight_1': 1.0, 'fc2.weight_2': 0.8389161614954594}",0.03127612963995189,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': -0.24926283449359576, 'fc1.weight_2': -0.37694711762109656, 'bn1.weight_0': 0.39618787295854485, 'bn1.weight_1': 0.07634300272979955, 'bn1.weight_2': -0.03904892886890565, 'bn1.bias_0': 0.22781689909987257, 'bn1.bias_1': 0.6065667347045607, 'bn1.bias_2': 0.238319910779335, 'fc2.weight_0': 0.019882629484928804, 'fc2.weight_1': 0.8995675847106563, 'fc2.weight_2': 0.6882788216605626}",0.0033566570094186927,Optimal
"{'fc1.weight_0': 0.04952145283357989, 'fc1.weight_1': -0.9710281318339703, 'fc1.weight_2': 0.4021563867254927, 'bn1.weight_0': 1.0, 'bn1.weight_1': 0.15499790300545224, 'bn1.weight_2': 0.015841391018915463, 'bn1.bias_0': 0.6702402101014835, 'bn1.bias_1': -1.0, 'bn1.bias_2': -0.03953763353105699, 'fc2.weight_0': 1.0, 'fc2.weight_1': -0.340313416842595, 'fc2.weight_2': 0.22166375943251215}",0.01470601002739053,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': -0.7006611795946198, 'fc1.weight_2': -1.0, 'bn1.weight_0': 0.4127197792647348, 'bn1.weight_1': -1.0, 'bn1.weight_2': 0.4493839357938014, 'bn1.bias_0': 1.0, 'bn1.bias_1': 0.7199896299876876, 'bn1.bias_2': 0.10377577801408377, 'fc2.weight_0': 0.584617950485504, 'fc2.weight_1': 0.9640863782404618, 'fc2.weight_2': 0.5448996073327816}",0.017213617800194966,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': 0.11827459059491718, 'fc1.weight_2': 0.5549337921981747, 'bn1.weight_0': 0.37778069010906234, 'bn1.weight_1': 0.2028989208507488, 'bn1.weight_2': -0.2322619645974291, 'bn1.bias_0': -0.018328920635902524, 'bn1.bias_1': 0.37056750273162287, 'bn1.bias_2': 0.4529607540283882, 'fc2.weight_0': 0.11142579148586851, 'fc2.weight_1': 0.7696365173388782, 'fc2.weight_2': 0.6180391018543556}",0.0042603419447528644,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': -0.022557325113102933, 'fc1.weight_2': -1.0, 'bn1.weight_0': 0.43722819503789445, 'bn1.weight_1': 0.7686463567811193, 'bn1.weight_2': -0.25356645170545056, 'bn1.bias_0': 0.0211242157331486, 'bn1.bias_1': 0.3900521217628581, 'bn1.bias_2': 0.47208436039815127, 'fc2.weight_0': -0.13752992586701474, 'fc2.weight_1': 0.9130868453570735, 'fc2.weight_2': 1.0}",0.012597193423697058,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': -0.004031397280911064, 'fc1.weight_2': 0.16077216883383794, 'bn1.weight_0': 0.4008422086679291, 'bn1.weight_1': -0.4794802959537924, 'bn1.weight_2': -0.5984124934248493, 'bn1.bias_0': 1.0, 'bn1.bias_1': 0.5268038683854348, 'bn1.bias_2': -1.0, 'fc2.weight_0': 0.14836430871200035, 'fc2.weight_1': 0.7521268788714497, 'fc2.weight_2': 0.7111572779868318}",0.006057447000620534,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': -0.1384185594317353, 'fc1.weight_2': 0.5504091823781037, 'bn1.weight_0': 0.4081671546665675, 'bn1.weight_1': -0.27889275321033524, 'bn1.weight_2': 0.004527709618549869, 'bn1.bias_0': 0.46223925300276125, 'bn1.bias_1': 0.4624361285745606, 'bn1.bias_2': 0.08735719343295889, 'fc2.weight_0': 0.10350079246500643, 'fc2.weight_1': 0.8215042003609854, 'fc2.weight_2': 1.0}",0.005318213022516194,No
"{'fc1.weight_0': 0.059300997647054654, 'fc1.weight_1': -0.07021184286427984, 'fc1.weight_2': 0.7318885489907758, 'bn1.weight_0': 0.7471630803899127, 'bn1.weight_1': 0.24573749197703187, 'bn1.weight_2': -0.6491805455210059, 'bn1.bias_0': 1.0, 'bn1.bias_1': 0.29937102978358743, 'bn1.bias_2': -1.0, 'fc2.weight_0': 1.0, 'fc2.weight_1': 0.2596387359042329, 'fc2.weight_2': 0.4745308979081331}",0.00930789695711657,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': 0.07466969085277686, 'fc1.weight_2': 0.6387993205868066, 'bn1.weight_0': 0.6817356143788225, 'bn1.weight_1': 0.7980254086822771, 'bn1.weight_2': -0.3331896460725723, 'bn1.bias_0': 0.7116130375215506, 'bn1.bias_1': 0.6326097330090521, 'bn1.bias_2': -1.0, 'fc2.weight_0': -0.018914635150260595, 'fc2.weight_1': 0.8450639612998079, 'fc2.weight_2': 0.39769119945146136}",0.009685643978538574,No
"{'fc1.weight_0': 0.7666839716720368, 'fc1.weight_1': -0.22552731508449986, 'fc1.weight_2': -0.07554114146457236, 'bn1.weight_0': 0.22004785339234356, 'bn1.weight_1': -0.3104604243810395, 'bn1.weight_2': -0.25766946844648386, 'bn1.bias_0': 0.08860621275456637, 'bn1.bias_1': 0.40875005443504264, 'bn1.bias_2': -0.6785032578230796, 'fc2.weight_0': 0.26401780072522074, 'fc2.weight_1': 1.0, 'fc2.weight_2': 0.6040741633005706}",0.008168362734970585,No
"{'fc1.weight_0': 1.0, 'fc1.weight_1': -0.45090456914669796, 'fc1.weight_2': 0.28533946024965817, 'bn1.weight_0': 0.6834350023576765, 'bn1.weight_1': -0.43906782414639745, 'bn1.weight_2': -0.2367328404998228, 'bn1.bias_0': -0.03318107258420089, 'bn1.bias_1': 0.6385014028366989, 'bn1.bias_2': 0.340723262364115, 'fc2.weight_0': -0.013026355936433198, 'fc2.weight_1': 0.6862482598313013, 'fc2.weight_2': 0.6044046490815533}",0.002202246258347336,Optimal
"{'fc1.weight_0': 1.0, 'fc1.weight_1': -0.21900463590102792, 'fc1.weight_2': -1.0, 'bn1.weight_0': -0.3104604909106714, 'bn1.weight_1': -1.0, 'bn1.weight_2': 1.0, 'bn1.bias_0': 1.0, 'bn1.bias_1': -1.0, 'bn1.bias_2': 1.0, 'fc2.weight_0': 0.4686252533986124, 'fc2.weight_1': 1.0, 'fc2.weight_2': 1.0}",0.04312777423577934,No
